"","x"
"1",1163
"2",7665
"3",9626
"4",2856
"5",319
"6",5132
"7",10205
"8",7962
"9",1492
"10",2510
"11",3853
"12",1832
"13",139
"14",2681
"15",1523
"16",10306
"17",6900
"18",5163
"19",5556
"20",5326
"21",10148
"22",9829
"23",5476
"24",6216
"25",7049
"26",4078
"27",9057
"28",7942
"29",7340
"30",2430
"31",6642
"32",6626
"33",8164
"34",8064
"35",9430
"36",4182
"37",7870
"38",2988
"39",5698
"40",3412
"41",61
"42",4544
"43",7177
"44",2965
"45",190
"46",3258
"47",5024
"48",9846
"49",542
"50",3636
"51",2384
"52",1946
"53",9380
"54",10532
"55",8778
"56",2586
"57",1640
"58",6346
"59",9980
"60",6027
"61",5876
"62",8065
"63",4562
"64",9836
"65",9526
"66",5596
"67",3572
"68",5532
"69",209
"70",9490
"71",3976
"72",10278
"73",6710
"74",6140
"75",2743
"76",3730
"77",5166
"78",6336
"79",2770
"80",6594
"81",3240
"82",5872
"83",10133
"84",1838
"85",112
"86",7330
"87",9228
"88",1456
"89",1668
"90",4208
"91",9226
"92",8840
"93",8296
"94",7198
"95",3956
"96",10182
"97",3481
"98",8371
"99",1680
"100",4162
"101",3239
"102",1944
"103",4994
"104",4054
"105",2896
"106",2685
"107",7284
"108",10048
"109",7410
"110",10204
"111",1630
"112",5676
"113",8343
"114",5597
"115",10432
"116",2724
"117",10322
"118",6836
"119",7229
"120",8166
"121",4399
"122",3614
"123",1930
"124",98
"125",7675
"126",3208
"127",7542
"128",7362
"129",2388
"130",1932
"131",7984
"132",4918
"133",4262
"134",3077
"135",4033
"136",3220
"137",1516
"138",9602
"139",1151
"140",499
"141",4670
"142",3574
"143",6115
"144",7408
"145",9148
"146",7864
"147",1608
"148",8134
"149",9212
"150",90
"151",1132
"152",3906
"153",10192
"154",7798
"155",4285
"156",2014
"157",5098
"158",2639
"159",6822
"160",9460
"161",2436
"162",541
"163",6868
"164",80
"165",2294
"166",4936
"167",1120
"168",7722
"169",7767
"170",3243
"171",5423
"172",2904
"173",9079
"174",7253
"175",1234
"176",10645
"177",10568
"178",1843
"179",9248
"180",1904
"181",1146
"182",6398
"183",10862
"184",4550
"185",10315
"186",1886
"187",4851
"188",1301
"189",4423
"190",1277
"191",3008
"192",3974
"193",7082
"194",10446
"195",8021
"196",8728
"197",9443
"198",5512
"199",10005
"200",7992
"201",5208
"202",8807
"203",8754
"204",7017
"205",364
"206",9928
"207",144
"208",5696
"209",2282
"210",9872
"211",7438
"212",4714
"213",9730
"214",5488
"215",8832
"216",6067
"217",1622
"218",5868
"219",1586
"220",7550
"221",6100
"222",6242
"223",10163
"224",6410
"225",5193
"226",4108
"227",276
"228",5474
"229",8458
"230",2050
"231",7088
"232",6801
"233",6469
"234",223
"235",1645
"236",1768
"237",4430
"238",6153
"239",7118
"240",1044
"241",9564
"242",6590
"243",3867
"244",731
"245",1384
"246",9270
"247",2012
"248",3510
"249",6290
"250",3536
"251",2638
"252",5144
"253",2444
"254",4836
"255",1186
"256",402
"257",4010
"258",4745
"259",3344
"260",7227
"261",1136
"262",4284
"263",3992
"264",3146
"265",6230
"266",5849
"267",5051
"268",3696
"269",6193
"270",3232
"271",8876
"272",6690
"273",10621
"274",4621
"275",2236
"276",459
"277",3376
"278",6438
"279",6192
"280",3217
"281",3418
"282",8508
"283",3719
"284",3136
"285",7882
"286",3712
"287",2226
"288",8092
"289",7298
"290",3868
"291",4756
"292",10497
"293",4272
"294",8599
"295",7090
